Nome,Nível,Escola,Tempo de conjuração,Alcance,Componentes,Duração,Concentração,Ritual,Descrição,Tipo de dano,Teste de resistência,Classe(s)
Acid Arrow,2,Evocation,1 action,90 feet,"V, S, M",Instantaneous,Não,Não,"A shimmering green arrow streaks toward a target within range and bursts in a spray of acid. Make a ranged spell attack against the target. On a hit, the target takes 4d4 acid damage immediately and 2d4 acid damage at the end of its next turn. On a miss, the arrow splashes the target with acid for half as much of the initial damage and no damage at the end of its next turn.",Acid,-,Wizard
Acid Splash,0,Conjuration,1 action,60 feet,"V, S",Instantaneous,Não,Não,"You hurl a bubble of acid. Choose one creature within range, or choose two creatures within range that are within 5 feet of each other. A target must succeed on a dexterity saving throw or take 1d6 acid damage. This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",Acid,DEX,"Sorcerer, Wizard"
Aid,2,Abjuration,1 action,30 feet,"V, S, M",8 hours,Não,Não,Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target's hit point maximum and current hit points increase by 5 for the duration.,-,-,"Cleric, Paladin"
Alarm,1,Abjuration,1 minute,30 feet,"V, S, M",8 hours,Não,Sim,"You set an alarm against unwanted intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot cube. Until the spell ends, an alarm alerts you whenever a Tiny or larger creature touches or enters the warded area. When you cast the spell, you can designate creatures that won't set off the alarm. You also choose whether the alarm is mental or audible. A mental alarm alerts you with a ping in your mind if you are within 1 mile of the warded area. This ping awakens you if you are sleeping. An audible alarm produces the sound of a hand bell for 10 seconds within 60 feet.",-,-,"Ranger, Wizard"
Alter Self,2,Transmutation,1 action,Self,"V, S",Up to 1 hour,Sim,Não,"You assume a different form. When you cast the spell, choose one of the following options, the effects of which last for the duration of the spell. While the spell lasts, you can end one option as an action to gain the benefits of a different one. ***Aquatic Adaptation.*** You adapt your body to an aquatic environment, sprouting gills and growing webbing between your fingers. You can breathe underwater and gain a swimming speed equal to your walking speed. ***Change Appearance.*** You transform your appearance. You decide what you look like, including your height, weight, facial features, sound of your voice, hair length, coloration, and distinguishing characteristics, if any. You can make yourself appear as a member of another race, though none of your statistics change. You also can't appear as a creature of a different size than you, and your basic shape stays the same; if you're bipedal, you can't use this spell to become quadrupedal, for instance. At any time for the duration of the spell, you can use your action to change your appearance in this way again. ***Natural Weapons.*** You grow claws, fangs, spines, horns, or a different natural weapon of your choice. Your unarmed strikes deal 1d6 bludgeoning, piercing, or slashing damage, as appropriate to the natural weapon you chose, and you are proficient with your unarmed strikes. Finally, the natural weapon is magic and you have a +1 bonus to the attack and damage rolls you make using it.",-,-,"Sorcerer, Wizard"
Animal Friendship,1,Enchantment,1 action,30 feet,"V, S, M",24 hours,Não,Não,"This spell lets you convince a beast that you mean it no harm. Choose a beast that you can see within range. It must see and hear you. If the beast's Intelligence is 4 or higher, the spell fails. Otherwise, the beast must succeed on a wisdom saving throw or be charmed by you for the spell's duration. If you or one of your companions harms the target, the spells ends.",-,WIS,"Bard, Druid, Ranger"
Animal Messenger,2,Enchantment,1 action,30 feet,"V, S, M",24 hours,Não,Sim,"By means of this spell, you use an animal to deliver a message. Choose a Tiny beast you can see within range, such as a squirrel, a blue jay, or a bat. You specify a location, which you must have visited, and a recipient who matches a general description, such as ""a man or woman dressed in the uniform of the town guard"" or ""a red-haired dwarf wearing a pointed hat."" You also speak a message of up to twenty-five words. The target beast travels for the duration of the spell toward the specified location, covering about 50 miles per 24 hours for a flying messenger, or 25 miles for other animals. When the messenger arrives, it delivers your message to the creature that you described, replicating the sound of your voice. The messenger speaks only to a creature matching the description you gave. If the messenger doesn't reach its destination before the spell ends, the message is lost, and the beast makes its way back to where you cast this spell.",-,-,"Bard, Druid, Ranger"
Animal Shapes,8,Transmutation,1 action,30 feet,"V, S",Up to 24 hours,Sim,Não,"Your magic turns others into beasts. Choose any number of willing creatures that you can see within range. You transform each target into the form of a Large or smaller beast with a challenge rating of 4 or lower. On subsequent turns, you can use your action to transform affected creatures into new forms. The transformation lasts for the duration for each target, or until the target drops to 0 hit points or dies. You can choose a different form for each target. A target's game statistics are replaced by the statistics of the chosen beast, though the target retains its alignment and Intelligence, Wisdom, and Charisma scores. The target assumes the hit points of its new form, and when it reverts to its normal form, it returns to the number of hit points it had before it transformed. If it reverts as a result of dropping to 0 hit points, any excess damage carries over to its normal form. As long as the excess damage doesn't reduce the creature's normal form to 0 hit points, it isn't knocked unconscious. The creature is limited in the actions it can perform by the nature of its new form, and it can't speak or cast spells. The target's gear melds into the new form. The target can't activate, wield, or otherwise benefit from any of its equipment.",-,-,Druid
Animate Dead,3,Necromancy,1 minute,10 feet,"V, S, M",Instantaneous,Não,Não,"This spell creates an undead servant. Choose a pile of bones or a corpse of a Medium or Small humanoid within range. Your spell imbues the target with a foul mimicry of life, raising it as an undead creature. The target becomes a skeleton if you chose bones or a zombie if you chose a corpse (the GM has the creature's game statistics). On each of your turns, you can use a bonus action to mentally command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete. The creature is under your control for 24 hours, after which it stops obeying any command you've given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell, rather than animating a new one.",-,-,"Cleric, Wizard"
Animate Objects,5,Transmutation,1 action,120 feet,"V, S",Up to 1 minute,Sim,Não,"Objects come to life at your command. Choose up to ten nonmagical objects within range that are not being worn or carried. Medium targets count as two objects, Large targets count as four objects, Huge targets count as eight objects. You can't animate any object larger than Huge. Each target animates and becomes a creature under your control until the spell ends or until reduced to 0 hit points. As a bonus action, you can mentally command any creature you made with this spell if the creature is within 500 feet of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete. ##### Animated Object Statistics | Size | HP | AC | Attack | Str | Dex | |---|---|---|---|---|---| | Tiny | 20 | 18 | +8 to hit, 1d4 + 4 damage | 4 | 18 | | Small | 25 | 16 | +6 to hit, 1d8 + 2 damage | 6 | 14 | | Medium | 40 | 13 | +5 to hit, 2d6 + 1 damage | 10 | 12 | | Large | 50 | 10 | +6 to hit, 2d10 + 2 damage | 14 | 10 | | Huge | 80 | 10 | +8 to hit, 2d12 + 4 damage | 18 | 6 | An animated object is a construct with AC, hit points, attacks, Strength, and Dexterity determined by its size. Its Constitution is 10 and its Intelligence and Wisdom are 3, and its Charisma is 1. Its speed is 30 feet; if the object lacks legs or other appendages it can use for locomotion, it instead has a flying speed of 30 feet and can hover. If the object is securely attached to a surface or a larger object, such as a chain bolted to a wall, its speed is 0. It has blindsight with a radius of 30 feet and is blind beyond that distance. When the animated object drops to 0 hit points, it reverts to its original object form, and any remaining damage carries over to its original object form. If you command an object to attack, it can make a single melee attack against a creature within 5 feet of it. It makes a slam attack with an attack bonus and bludgeoning damage determined by its size. The GM might rule that a specific object inflicts slashing or piercing damage based on its form.",-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,Druid
,,,,,,,,,,-,-,"Cleric, Wizard"
,,,,,,,,,,-,-,"Druid, Wizard"
,,,,,,,,,,-,-,"Cleric, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,Force,-,"Bard, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Cleric, Warlock, Wizard"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Bard, Druid"
,,,,,,,,,,-,CHA,"Bard, Cleric"
,,,,,,,,,,-,CHA,"Cleric, Paladin, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,WIS,"Bard, Cleric, Wizard"
,,,,,,,,,,Bludgeoning,DEX,Wizard
,,,,,,,,,,Slashing,DEX,Cleric
,,,,,,,,,,-,-,"Cleric, Paladin"
,,,,,,,,,,Necrotic,CON,"Druid, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,CON,"Bard, Cleric, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,Radiant,-,Paladin
,,,,,,,,,,Fire,DEX,"Sorcerer, Wizard"
,,,,,,,,,,Lightning,-,Druid
,,,,,,,,,,-,CHA,"Bard, Cleric"
,,,,,,,,,,Lightning,DEX,"Sorcerer, Wizard"
,,,,,,,,,,-,WIS,"Bard, Druid, Sorcerer, Warlock, Wizard"
,,,,,,,,,,Necrotic,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,Necrotic,CON,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Sorcerer, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,Poison,CON,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,WIS,"Cleric, Paladin"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,WIS,Bard
,,,,,,,,,,Cold,CON,"Sorcerer, Wizard"
,,,,,,,,,,-,WIS,"Bard, Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Druid, Wizard"
,,,,,,,,,,-,-,"Druid, Warlock"
,,,,,,,,,,-,-,"Druid, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,INT,"Warlock, Wizard"
,,,,,,,,,,-,CON,"Cleric, Druid"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Cleric, Wizard"
,,,,,,,,,,Bludgeoning,STR,"Cleric, Druid, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Paladin"
,,,,,,,,,,-,-,"Cleric, Druid"
,,,,,,,,,,-,-,"Cleric, Warlock, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Paladin, Ranger"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Paladin, Ranger, Sorcerer"
,,,,,,,,,,-,-,"Cleric, Paladin"
,,,,,,,,,,Fire,DEX,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Warlock, Wizard"
,,,,,,,,,,-,-,"Cleric, Paladin"
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Paladin, Ranger"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,Force,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,Force,DEX,"Sorcerer, Wizard"
,,,,,,,,,,-,CHA,"Cleric, Paladin"
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Paladin, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,Druid
,,,,,,,,,,Radiant,-,Paladin
,,,,,,,,,,-,CHA,Cleric
,,,,,,,,,,-,WIS,"Druid, Sorcerer"
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Wizard"
,,,,,,,,,,Psychic,WIS,"Bard, Warlock, Wizard"
,,,,,,,,,,-,-,Druid
,,,,,,,,,,-,-,"Cleric, Druid, Sorcerer"
,,,,,,,,,,Force,-,Warlock
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Sorcerer"
,,,,,,,,,,-,CON,"Sorcerer, Wizard"
,,,,,,,,,,-,STR,Druid
,,,,,,,,,,-,WIS,"Bard, Warlock"
,,,,,,,,,,-,-,"Bard, Cleric, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,DEX,Druid
,,,,,,,,,,Piercing,-,Wizard
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,Psychic,INT,"Bard, Druid, Warlock, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,Paladin
,,,,,,,,,,-,-,"Bard, Cleric, Druid"
,,,,,,,,,,-,-,"Cleric, Druid, Ranger"
,,,,,,,,,,Necrotic,CON,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,Fire,-,"Sorcerer, Wizard"
,,,,,,,,,,Fire,-,Wizard
,,,,,,,,,,Fire,DEX,"Cleric, Druid, Sorcerer"
,,,,,,,,,,Fire,DEX,"Sorcerer, Wizard"
,,,,,,,,,,Fire,-,Druid
,,,,,,,,,,Fire,DEX,Cleric
,,,,,,,,,,Fire,-,"Druid, Wizard"
,,,,,,,,,,-,CON,"Warlock, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger, Sorcerer, Wizard"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Bard, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Druid, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Ranger"
,,,,,,,,,,Cold,CON,Wizard
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Cleric, Sorcerer, Wizard"
,,,,,,,,,,-,WIS,"Bard, Cleric, Druid, Paladin, Wizard"
,,,,,,,,,,-,-,"Cleric, Wizard"
,,,,,,,,,,-,-,Druid
,,,,,,,,,,-,-,"Bard, Warlock"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,DEX,Wizard
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Druid"
,,,,,,,,,,Radiant,DEX,Cleric
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid"
,,,,,,,,,,Radiant,-,Cleric
,,,,,,,,,,-,STR,"Druid, Sorcerer, Wizard"
,,,,,,,,,,-,CHA,Cleric
,,,,,,,,,,-,-,"Bard, Druid, Warlock, Wizard"
,,,,,,,,,,Necrotic,CON,Cleric
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid"
,,,,,,,,,,-,-,"Bard, Cleric, Druid"
,,,,,,,,,,Fire,CON,"Bard, Druid"
,,,,,,,,,,Fire,DEX,Warlock
,,,,,,,,,,-,-,"Cleric, Druid"
,,,,,,,,,,-,-,"Bard, Paladin"
,,,,,,,,,,-,WIS,"Bard, Wizard"
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,WIS,"Bard, Cleric, Druid, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,Ranger
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,Bludgeoning,DEX,"Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Bard, Warlock, Wizard"
,,,,,,,,,,-,WIS,"Warlock, Wizard"
,,,,,,,,,,Fire,DEX,"Sorcerer, Wizard"
,,,,,,,,,,Necrotic,-,Cleric
,,,,,,,,,,Piercing,CON,"Cleric, Druid, Sorcerer"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Paladin, Ranger"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,DEX,"Bard, Cleric, Sorcerer, Wizard"
,,,,,,,,,,Lightning,DEX,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Druid, Ranger"
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Paladin, Ranger, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Druid, Paladin, Ranger, Wizard"
,,,,,,,,,,-,-,"Bard, Druid, Ranger, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,CHA,"Cleric, Paladin, Warlock, Wizard"
,,,,,,,,,,-,CHA,Wizard
,,,,,,,,,,Force,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Paladin, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Druid"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Cleric, Bard, Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,Fire,DEX,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Druid, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,WIS,"Bard, Wizard"
,,,,,,,,,,Radiant,CON,Druid
,,,,,,,,,,-,-,"Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Ranger, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,Psychic,WIS,Wizard
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,CHA,"Bard, Cleric, Druid, Wizard"
,,,,,,,,,,-,CHA,"Cleric, Druid, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Druid, Ranger"
,,,,,,,,,,Poison,CON,"Sorcerer, Warlock, Wizard, Druid"
,,,,,,,,,,-,WIS,"Bard, Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,DEX,"Sorcerer, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,Fire,-,Druid
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Ranger, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Paladin, Warlock, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Paladin, Ranger"
,,,,,,,,,,-,-,"Cleric, Druid, Paladin"
,,,,,,,,,,-,-,"Bard, Cleric, Paladin"
,,,,,,,,,,-,CON,"Warlock, Wizard"
,,,,,,,,,,Cold,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Druid"
,,,,,,,,,,-,-,Druid
,,,,,,,,,,-,-,"Cleric, Paladin, Warlock, Wizard"
,,,,,,,,,,-,DEX,Wizard
,,,,,,,,,,-,-,"Cleric, Druid"
,,,,,,,,,,-,-,"Bard, Cleric"
,,,,,,,,,,-,DEX,"Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Paladin"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,Radiant,DEX,Cleric
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,Fire,-,"Sorcerer, Wizard"
,,,,,,,,,,-,WIS,"Bard, Cleric, Druid, Warlock, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Druid, Wizard"
,,,,,,,,,,Thunder,CON,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Paladin"
,,,,,,,,,,-,-,Druid
,,,,,,,,,,Lightning,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Ranger"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Druid, Sorcerer, Wizard"
,,,,,,,,,,-,WIS,"Sorcerer, Wizard"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Bard, Druid, Ranger"
,,,,,,,,,,-,-,"Bard, Cleric"
,,,,,,,,,,-,-,"Bard, Druid, Ranger"
,,,,,,,,,,-,-,"Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,Force,-,Cleric
,,,,,,,,,,-,CON,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Wizard"
,,,,,,,,,,-,-,"Druid, Ranger, Sorcerer, Wizard"
,,,,,,,,,,Thunder,CON,Druid
,,,,,,,,,,-,WIS,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,Radiant,CON,"Druid, Sorcerer, Wizard"
,,,,,,,,,,Radiant,CON,"Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Wizard"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,Thunder,CON,"Bard, Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,"Bard, Wizard"
,,,,,,,,,,-,-,"Bard, Cleric, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,Druid
,,,,,,,,,,-,-,"Druid, Ranger"
,,,,,,,,,,-,-,"Bard, Warlock, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid"
,,,,,,,,,,-,-,"Bard, Cleric, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Sorcerer, Warlock, Wizard"
,,,,,,,,,,-,-,"Bard, Warlock, Wizard"
,,,,,,,,,,Necrotic,-,"Warlock, Wizard"
,,,,,,,,,,Psychic,WIS,Bard
,,,,,,,,,,Fire,DEX,"Druid, Sorcerer, Wizard"
,,,,,,,,,,-,-,Wizard
,,,,,,,,,,Cold,DEX,Wizard
,,,,,,,,,,-,-,"Druid, Sorcerer, Wizard"
,,,,,,,,,,Piercing,DEX,Druid
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Druid, Ranger, Sorcerer, Wizard"
,,,,,,,,,,-,-,"Cleric, Druid, Ranger, Sorcerer"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,WIS,Wizard
,,,,,,,,,,-,-,Druid
,,,,,,,,,,Bludgeoning,STR,"Druid, Ranger"
,,,,,,,,,,-,-,"Sorcerer, Wizard"
,,,,,,,,,,-,-,Cleric
,,,,,,,,,,-,-,"Bard, Cleric, Paladin"
